0,,チェックをいれてクリック,チェックをいれてクリック.1,製品名,価格,取扱店舗数,ランキング,満足度,クチコミ,CPU,CPUスコア,画面サイズ,画面種類,解像度,タッチパネル,2in1タイプ,ワイド画面,表面処理,OS,Office詳細,メモリ容量,メモリ規格,メモリスロット（空き）,ストレージ容量,HDD回転数,ドライブ有無,ドライブ規格,ビデオチップ,ビデオメモリ,重量,幅x高さx奥行,カラー,駆動時間,インターフェース,無線LAN,Wi-Fi Direct対応,NFC,LAN,SIMカード,インテル Evoプラットフォーム,ゲーミングPC,USB PD,ファンレス,BTO対応,その他,生体認証,センサー,地上デジタルチューナー,エコマーク,認定番号,発売日,登録日
1,0.0,,,LenovoIdeaPad Slim 350i Chromebook 82BA000LJP,"¥18,000",38店舗,27位,4.20(4票),5件,インテル Celeron N4020(Gemini Lake Refresh)1.1GHz/2コア,1589,11.6型(インチ),,FWXGA (1366x768),,,○,ノングレア(非光沢),Chrome OS,Office無し,4GB,LPDDR4,0(0),eMMC：32GB,,無し,,Intel UHD Graphics 600,メインメモリと共有,1.12kg,286.7x18.1x205.5mm,オニキスブラック,10時間,USB3.1 Gen1(USB3.0) Type-Ax2/Type-Cx2microSDスロット,IEEE802.11a/b/g/n/ac,,,,,,,○,,,WebカメラBluetooth4.2日本語キーボード,,,,,,2020年 8月下旬,2020年 6月3日
2,1.0,,,KanoKano PC,"¥19,800",12店舗,221位,0.00(0票),0件,インテル Celeron N4000(Gemini Lake)1.1GHz/2コア,1406,11.6型(インチ),,FWXGA (1366x768),○,セパレート,○,,Windows 10 Pro,Office無し,4GB,DDR4,,eMMC：64GB,,無し,,,,1.765kg,287.5x35.6x194mm,ブラック系,,HDMIx1USB3.1 Gen1(USB3.0)x2USB Type-Cx1microSDスロット,IEEE802.11a/b/g/n/ac,,,,,,,,,,Bluetooth5.0 BLE日本語キーボード,,,,,,2020年 8月22日,2020年 8月13日
3,2.0,,,LenovoLenovo 300e Chromebook 2nd Gen 82CE0009JP,"¥19,800",2店舗,163位,0.00(0票),0件,AMD A4-9120C1.6GHz/2コア,810,11.6型(インチ),IPS液晶,FWXGA (1366x768),○,コンバーチブル,○,,Chrome OS,Office無し,4GB,DDR4 PC4-14900,0(0),eMMC：32GB,,無し,,AMD Radeon R4 Graphics,,1.32kg,290x20.35x204mm,ブラック,10時間,USB3.1 Gen1(USB3.0) Type-Ax2/Type-Cx2microSDスロット,IEEE802.11a/b/g/n/ac,,,,,,,,,,WebカメラBluetooth4.2日本語キーボード,,加速度センサージャイロセンサー,,,,2020年 3月,2021年 7月15日
4,3.0,,,サイエルインターナショナルM-WORKS MW-WPC02,"¥21,979",11店舗,544位,0.00(0票),0件,インテル Celeron Dual-Core N3350(Apollo Lake)1.1GHz/2コア,1146,8.9型(インチ),,,○,セパレート,,,Windows,Office無し,4GB,,,64GB,,無し,,,,0.84kg,,ブラック系,,,,,,,,,,,,,Webカメラ日本語キーボード,,,,,,2020年11月中旬,2021年 7月26日
5,4.0,,,ASUSChromebook CX1(CX1100) CX1100CNA-GJ0040,"¥23,800",3店舗,353位,3.43(2票),5件,インテル Celeron Dual-Core N3350(Apollo Lake)1.1GHz/2コア,1146,11.6型(インチ),TFTカラー液晶,FWXGA (1366x768),,,○,ノングレア(非光沢),Chrome OS,Office無し,4GB,LPDDR4 PC4-19200,,eMMC：32GB,,無し,,Intel HD Graphics 500,,1.2kg,287.4x17.5x200.1mm,トランスペアレントシルバー,,USB3.2 Gen1 Type-Ax1/Type-Cx2microSDスロット,IEEE802.11a/b/g/n/ac,,,,,,,,,,WebカメラBluetooth4.2日本語キーボード,,,,,,2021年 6月上旬,2021年 5月20日
6,5.0,チェックをいれてクリック,チェックをいれてクリック,製品名,価格,取扱店舗数,ランキング,満足度,クチコミ,CPU種類,CPU種類,画面,画面,画面,画面,画面,画面,画面,OS,Office詳細,メモリ,メモリ,メモリ,ストレージ,ストレージ,ドライブ有無,ドライブ規格,グラフィック,グラフィック,サイズ･重量,サイズ･重量,カラー,駆動時間,インターフェース,ネットワーク,ネットワーク,ネットワーク,ネットワーク,ネットワーク,その他,その他,その他,その他,その他,その他,セキュリティ,セキュリティ,地上デジタルチューナー,エコマーク,エコマーク,発売日,登録日
7,6.0,チェックをいれてクリック,チェックをいれてクリック,製品名,価格,取扱店舗数,ランキング,満足度,クチコミ,CPU,CPUスコア,画面サイズ,画面種類,解像度,タッチパネル,2in1タイプ,ワイド画面,表面処理,OS,Office詳細,メモリ容量,メモリ規格,メモリスロット（空き）,ストレージ容量,HDD回転数,ドライブ有無,ドライブ規格,ビデオチップ,ビデオメモリ,重量,幅x高さx奥行,カラー,駆動時間,インターフェース,無線LAN,Wi-Fi Direct対応,NFC,LAN,SIMカード,インテル Evoプラットフォーム,ゲーミングPC,USB PD,ファンレス,BTO対応,その他,生体認証,センサー,地上デジタルチューナー,エコマーク,認定番号,発売日,登録日
8,7.0,,,ASUSChromebook CX1(CX1500) CX1500CNA-BR0066,"¥24,800",4店舗,140位,3.00(1票),0件,インテル Celeron Dual-Core N3350(Apollo Lake)1.1GHz/2コア,1146,15.6型(インチ),TFTカラー液晶,FWXGA (1366x768),,,○,ノングレア(非光沢),Chrome OS,Office無し,4GB,LPDDR4 PC4-19200,,eMMC：64GB,,無し,,Intel HD Graphics 500,,1.8kg,361.3x18.9x249.9mm,トランスペアレントシルバー,10.4時間,USB3.2 Gen1 Type-Ax2/Type-Cx2microSDスロット,IEEE802.11a/b/g/n/ac,,,,,,,,,,WebカメラBluetooth4.2日本語キーボード,,,,,,2021年 6月24日,2021年 6月22日
9,8.0,,,GeaneeJTW10-4G32G-KET,"¥25,800",4店舗,410位,0.00(0票),0件,インテル Atom x5-Z8350(Cherry Trail)1.44GHz/4コア,924,10.1型(インチ),IPS液晶,WXGA (1280x800),○,セパレート,○,,Windows 10 Pro 64bit,Office無し,4GB,,,32GB,,無し,,Intel HD Graphics,,,,ブラック系,5時間,miniHDMIx1USB3.1 Gen1(USB3.0)x1microSDスロット,IEEE802.11b /g /n,,,,,,,,,,WebカメラBluetooth4.0日本語キーボードタッチペン,,Gセンサー,,,,2021年 4月9日,2021年 5月6日
